state,city,center_num,center_avg,city_avg,Marks
MAHARASHTRA,NANDED,311245,230.45338983050848,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311246,226.2936170212766,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311247,231.39224137931035,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311248,229.02941176470588,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311249,230.21610169491527,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311250,245.03347280334728,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311251,225.09166666666667,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311252,232.75,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311253,234.991452991453,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311254,237.28936170212765,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311255,230.4232558139535,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDED,311256,165.4470588235294,229.79000410415432,202.28110229068648
MAHARASHTRA,NANDURBAR,312701,105.08673469387755,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312702,99.85395537525355,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312703,90.28571428571429,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312704,94.45291479820628,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312705,95.50267379679144,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312706,95.97058823529412,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312707,92.30311614730878,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312708,105.76338028169015,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312709,99.33687943262412,95.88731343283582,202.28110229068648
MAHARASHTRA,NANDURBAR,312710,68.59302325581395,95.88731343283582,202.28110229068648
MAHARASHTRA,NASHIK,311301,164.4472876151484,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311302,161.22747252747251,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311303,168.19543509272467,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311304,160.4046153846154,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311305,173.206132879046,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311306,161.57439446366783,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311307,182.08665511265164,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311308,159.99472759226714,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311309,179.09796672828097,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311310,174.51024590163934,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311311,164.34685598377283,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311312,174.42943548387098,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311313,165.09677419354838,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311314,169.77969762419008,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311315,168.8543897216274,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311316,159.8682505399568,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311317,161.4164810690423,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311318,167.15401301518438,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311319,170.63440860215053,166.5763131359428,202.28110229068648
MAHARASHTRA,NASHIK,311320,89.39449541284404,166.5763131359428,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311401,227.30023640661938,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311402,221.80347593582889,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311403,223.13037447988904,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311404,232.6314960629921,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311405,234.26194398682043,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311406,231.81666666666666,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311407,227.93822393822393,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311408,233.6910569105691,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311409,219.3168103448276,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311410,232.02795698924731,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311411,223.35406698564594,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311412,236.4520202020202,228.85022909507447,202.28110229068648
MAHARASHTRA,NAVI MUMBAI,311413,256.7761194029851,228.85022909507447,202.28110229068648
MAHARASHTRA,OSMANABAD,312801,168.07203389830508,174.01192924722338,202.28110229068648
MAHARASHTRA,OSMANABAD,312802,163.10849056603774,174.01192924722338,202.28110229068648
MAHARASHTRA,OSMANABAD,312803,173.89877300613497,174.01192924722338,202.28110229068648
